"Domain Code","Domain","Item Code","Item","Description","HS Code","HS07 Code","HS12 Code","CPC Code"
"QV","Production: Value of Agricultural Production","296","Poppy seed","Papaver somniferum. The source of opium, poppy seeds are also used in baking and confectionery.","","120791","120791","01448"
"QV","Production: Value of Agricultural Production","116","Potatoes","Solanum tuberosum Irish potato. A seasonal crop grown in temperate zones all over the world, but primarily in the northern hemisphere.","","070110, 070190","070110, 070190","01510"
"QV","Production: Value of Agricultural Production","211","Pulses nes","Including inter alia: lablab or hyacinth bean (Dolichos spp.); jack or sword bean (Canavalia spp.); winged bean (Psophocarpus tetragonolobus); guar bean (Cyamopsis tetragonoloba); velvet bean (Stizolobium spp.); yam bean (Pachyrrhizus erosus);. Vigna spp. other than those included in 176 and 195 Other pulses that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report pulses under this heading that are classified individually by FAO.","","071390","071390","01709.90"
"QV","Production: Value of Agricultural Production","394","Pumpkins, squash and gourds","Cucurbita spp. Includes marrows.","","070990","070993","01235"
"QV","Production: Value of Agricultural Production","754","Pyrethrum, dried","Chrysanthemum cinerariifolium. Includes leaves, stems and flowers. For insecticides, fungicides and similar products.","","121190","121190","01930.02"
"QV","Production: Value of Agricultural Production","523","Quinces","Cydonia oblonga; C. vulgaris; C. japonica.","","080820","080840","01342.02"
"QV","Production: Value of Agricultural Production","92","Quinoa","Chenopodium quinoa (Chenopodiaceae). A minor cereal, which tolerates high altitudes, quinoa is cultivated primarily in andean countries. Used for food and to make chicha, a fermented beverage.","","100890","100850","01194"
"QV","Production: Value of Agricultural Production","788","Ramie","China grass, white ramie (Boehmeria nivea); rhea, green ramie (B. tenacissima). Ramie fibre is obtained from the bast of the plant. For trade coverage see 780.","","530500","530500","01929.04"
"QV","Production: Value of Agricultural Production","270","Rapeseed","Brassica napus var. oleifera. Valued mainly for its oil. Older varieties are rich in Erucic acid, which is considered unhealthy.","","120510, 120590","120510, 120590","01443"
"QV","Production: Value of Agricultural Production","547","Raspberries","Ubus idaeus. Trade data may include blackberries, mulberries and loganberries (a cross between the raspberry and blackberry).","","081020","081020","01353.01"
"QV","Production: Value of Agricultural Production","27","Rice, paddy","Oryza spp., mainly oryza sativa. Rice grain after threshing and winnowing. Also known as rice in the husk and rough rice. Used mainly for human food.","","100610","100610","0113"
"QV","Production: Value of Agricultural Production","149","Roots and tubers nes","Including inter alia: arracacha (Arracacoa xanthorrhiza); arrowroot (Maranta arundinacea); chufa (Cyperus esculentus); sago palm (Metroxylon spp.); oca and ullucu (Oxalis tuberosa and Ullucus tuberosus); yam bean, jicama (Pachyrxhizus erosus, P. angulatus); mashua (Tropaeolum tuberosum); Jerusalem artichoke, topinambur (Helianthus tuberosus). Other tubers, roots or rhizomes, fresh, that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report roots and tubers under this commodity heading that are classified individually by FAO.","","071490","071490","01599.10"
"QV","Production: Value of Agricultural Production","1720","Roots and Tubers, Total","Roots and Tubers are plants yielding starchy roots, tubers, rhizomes, corms and stems. They are used mainly for human food (as such or in processed form), for animal feed and for manufacturing starch, alcohol and fermented beverages including beer. The denomination ""roots and tubers"" excludes crops which are cultivated mainly for feed (mangolds, swedes) or for processing into sugar (sugar beets), and those classified as ""roots, bulb and tuberous vegetables"" (onions, garlic and beets). It does include starch and the starchy pith and flour obtained from the trunk of the sago palm and the stem of the Abyssinian banana (Musa ensete). Certain root crops, notably bitter cassava, contain toxic substances, particularly in the skins. As a result, certain processes must be undertaken to make the product safe for human consumption. Apart from their high water content (70-80 percent), these crops contain mainly carbohydrates (largely starches that account for 16-24 percent of their total weight) with very little protein and fat (0-2 percent each). Methods of propagating root crops vary. A live potato tuber or seed must be planted but only part of the live yam tuber and a piece of the stalk (not the root) in the case of cassava. Production data of root crops should be reported in terms of clean weight, i.e. free of earth and mud. FAO distinguishes among seven primary root and tuber crops. The code and name of each one appears in the list that follows, along with its botanical name, or names, and a short description. The processed products of roots and tubers are listed together with their parent primary crops.","","","",""
